instance,n,density,known_best,our_best,status,k_solved,greedy_best,gpu_flip_time,total_time
ckp01,40,0.25,48744,48744,OK,2,47396,0.1,0.2
ckp02,40,0.5,184748,184748,OK,4,184424,0.1,0.3
ckp03,40,0.75,143213,143213,OK,6,141765,0.1,0.2
ckp04,40,1.0,334574,334574,OK,4,332374,0.1,0.2
ckp05,45,0.25,87109,87109,OK,6,82004,0.2,0.4
ckp06,45,0.5,126523,126523,OK,0,126523,0.1,0.2
ckp07,45,0.75,92013,92013,OK,4,91003,0.1,0.2
ckp08,45,1.0,254993,254993,OK,6,252121,0.2,0.3
ckp09,50,0.25,105232,105232,OK,6,103282,0.3,0.6
ckp10,50,0.5,494320,494320,OK,1,494320,0.2,0.5
ckp11,50,0.75,579220,579220,OK,4,577130,0.3,0.6
ckp12,50,1.0,148085,148085,OK,6,144468,0.1,0.4
ckp13,55,0.25,155678,155678,OK,2,153994,0.6,0.9
ckp14,55,0.5,323714,323714,OK,6,318825,0.9,1.3
ckp15,55,0.75,378836,378836,OK,6,374599,0.5,0.9
ckp16,55,1.0,775999,775999,OK,6,769968,0.6,1.0
ckp17,60,0.25,69130,69130,OK,6,64329,0.7,1.0
ckp18,60,0.5,273797,273797,OK,2,271509,1.0,1.4
ckp19,60,0.75,550463,550463,OK,6,544550,1.7,2.1
ckp20,60,1.0,1331716,1331716,OK,2,1329390,1.2,1.7
ckp21,65,0.25,130745,130745,OK,4,128430,1.4,1.8
ckp22,65,0.5,741341,741341,OK,4,738122,2.1,2.7
ckp23,65,0.75,91436,91436,OK,6,88238,0.6,0.9
ckp24,65,1.0,80099,80099,OK,2,79941,0.6,0.8
ckp25,70,0.25,690211,690211,OK,2,690211,1.8,2.8
ckp26,70,0.5,679162,679162,OK,6,669046,3.5,4.2
ckp27,70,0.75,1508589,1508589,OK,2,1504710,3.7,4.5
ckp28,70,1.0,152296,152296,OK,6,150840,1.8,2.2
ckp29,80,0.25,1049108,1049108,OK,2,1049108,4.8,6.5
ckp30,80,0.5,1710871,1710871,OK,1,1710871,4.8,6.2
ckp31,80,0.75,3111114,3111114,OK,1,3111114,4.8,6.2
ckp32,80,1.0,768534,768534,OK,1,762311,7.8,8.5
ckp33,90,0.25,449674,449674,OK,2,439684,23.0,24.6
ckp34,90,0.5,2014369,2014369,OK,2,1991319,47.5,49.7
ckp35,90,0.75,214098,214098,OK,2,210843,8.6,9.3
ckp36,90,1.0,3703682,3703682,OK,1,3685008,38.7,40.5
ckp37,100,0.25,375008,375008,OK,1,367236,8.9,10.4
ckp38,100,0.5,2991030,2991030,OK,2,2962257,7.5,10.3
ckp39,100,0.75,1902644,1902644,OK,1,1897137,8.4,10.0
ckp40,100,1.0,3714335,3714335,OK,1,3698727,21.0,23.1
ckp41,110,0.25,1980858,1980858,OK,2,1961083,7.5,12.9
ckp42,110,0.5,1933143,1933143,OK,1,1923355,8.4,11.1
ckp43,110,0.75,2693786,2693786,OK,2,2671324,9.3,12.1
ckp44,110,1.0,10059718,10059718,OK,1,10054344,4.5,8.6
ckp45,120,0.25,3401369,3401369,OK,2,3392432,7.6,18.3
ckp46,120,0.5,666788,666788,OK,2,659773,6.5,8.8
ckp47,120,0.75,3501850,3501850,OK,1,3496390,12.6,16.5
ckp48,120,1.0,13138874,13138874,OK,1,13133682,7.6,13.6
ckp49,200,0.25,2791486,2791486,OK,1,2780510,12.1,34.7
ckp50,200,0.5,7092542,7092542,OK,1,7048875,24.8,46.3
ckp51,200,0.75,22642652,22642652,OK,1,22599522,28.8,59.4
ckp52,200,1.0,64384622,64384622,OK,1,64375970,6.5,38.9
